P-Graph:
(Gain, trade-off, Unity Gain Frequency (UGF)) :
(w1, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)
(w2, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)
(w3, increasing_design_paramteter_increases_performance_metric, Gain)
(w4, increasing_design_paramteter_increases_performance_metric, Gain)
(w3, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)
(w4, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)
(w5, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)
(w6, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)
(w7, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)
(w8, increasing_design_paramteter_decreases_performance_metric, Hysteresis_Error)
(w9, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)
(w10, increasing_design_paramteter_decreases_performance_metric, Offset_Voltage)
(w11, increasing_design_paramteter_increases_performance_metric, Gain)
(w11, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)
(w12, increasing_design_paramteter_increases_performance_metric, Gain)
(w12, increasing_design_paramteter_increases_performance_metric, Unity_Gain_Frequency)

