P-Graph:
(Gain, trade-off, CMRR)
(l5, belongs_to, Biasing_Network)
(w5, belongs_to, Biasing_Network)
(l6, belongs_to, Biasing_Network)
(w6, belongs_to, Biasing_Network)
(l7, belongs_to, Load_Stage)
(w7, belongs_to, Load_Stage)
(l8, belongs_to, Biasing_Network)
(w8, belongs_to, Biasing_Network)
(r1, belongs_to, Load_Stage)
(c1, belongs_to, Load_Stage)

