P-Graph:
(Performance metrics: quiescent current (iq1), stability, output voltage difference)
(l12, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w12, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l13, belongs_to, load stage)
(w13, belongs_to, load stage)
(l14, belongs_to, load stage)
(w14, belongs_to, load stage)
(l13, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w13, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l14, increasing_design_parameter_increases_performance_metric, output voltage difference)
(w14, increasing_design_parameter_increases_performance_metric, output voltage difference)
(l15, belongs_to, feedback loop)
(w15, belongs_to, feedback loop)
(l16, belongs_to, feedback loop)
(w16, belongs_to, feedback loop)
(l16, increasing_design_parameter_increases_performance_metric, stability)
(w16, increasing_design_parameter_increases_performance_metric, stability)
(l17, belongs_to, differential pair)
(w17, belongs_to, differential pair)
(l18, belongs_to, differential pair)
(w18, belongs_to, differential pair)
(l17, increasing_design_parameter_increases_performance_metric, stability)
(w17, increasing_design_parameter_increases_performance_metric, stability)
(l18, increasing_design_parameter_increases_performance_metric, stability)
(w18, increasing_design_parameter_increases_performance_metric, stability)
(l19, belongs_to, current mirror)
(w19, belongs_to, current mirror)
(l20, belongs_to, current mirror)
(w20, belongs_to, current mirror)
(l19, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w19, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l20, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(w20, increasing_design_parameter_increases_performance_metric, quiescent current (iq1))
(l1, belongs_to, Differential_Pair)
(w1, belongs_to, Differential_Pair)
(l2, belongs_to, Differential_Pair)
(w2, belongs_to, Differential_Pair)
(l3, belongs_to, Current_Mirror)
(w3, belongs_to, Current_Mirror)
(l4, belongs_to, Current_Mirror)
(w4, belongs_to, Current_Mirror)
(l5, belongs_to, Feedback_Network)
(w5, belongs_to, Feedback_Network)
(l6, belongs_to, Feedback_Network)
(w6, belongs_to, Feedback_Network)
(l7, belongs_to, Output_Stage)
(w7, belongs_to, Output_Stage)
(l8, belongs_to, Output_Stage)
(w8, belongs_to, Output_Stage)
(l9, belongs_to, Biasing_Network)
(w9, belongs_to, Biasing_Network)
(l10, belongs_to, Biasing_Network)
(w10, belongs_to, Biasing_Network)
(l11, belongs_to, Differential_Pair)
(w11, belongs_to, Differential_Pair)
(l12, belongs_to, Output_Stage)
(w12, belongs_to, Output_Stage)
(l13, belongs_to, Current_Mirror)
(w13, belongs_to, Current_Mirror)
(l14, belongs_to, Feedback_Network)
(w14, belongs_to, Feedback_Network)
(l15, belongs_to, Feedback_Network)
(w15, belongs_to, Feedback_Network)
(l16, belongs_to, Output_Stage)
(w16, belongs_to, Output_Stage)
(l17, belongs_to, Output_Stage)
(w17, belongs_to, Output_Stage)
(l18, belongs_to, Biasing_Network)
(w18, belongs_to, Biasing_Network)
(l19, belongs_to, Biasing_Network)
(w19, belongs_to, Biasing_Network)
(l20, belongs_to, Biasing_Network)
(w20, belongs_to, Biasing_Network)
(l2, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(l3, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(w3, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(l4, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(w4, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(l5, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(w5, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(l6, increasing_design_paramteter_increases_performance_metric, stability)
(w6, increasing_design_paramteter_increases_performance_metric, stability)
(l7, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(w7, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(l8, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(w8, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(l10, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(l11, increasing_design_paramteter_increases_performance_metric, stability)
(w11, increasing_design_paramteter_increases_performance_metric, stability)
(l12, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(w12, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(l13, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(l14, increasing_design_paramteter_increases_performance_metric, stability)
(w14, increasing_design_paramteter_increases_performance_metric, stability)
(l16, increasing_design_paramteter_increases_performance_metric, output_voltage_difference)
(l17, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(w17, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(w18, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(w19, increasing_design_paramteter_decreases_performance_metric, quiescent_current)
(l20, increasing_design_paramteter_increases_performance_metric, stability)
(w20, increasing_design_paramteter_increases_performance_metric, stability)

